switch_score_buffer,min_regime_history,top_n,max_monthly_turnover,turnover_metric_warmup_months,median_rolling_sharpe_difference,turnover_instability_score,allocation_complexity_score,selection_score,passes_turnover_stability,research_start,research_end,research_months,strategy_sharpe,average_turnover,turnover_p90,turnover_p95,high_turnover_month_share,turnover_volatility,rolling_12m_average_turnover_max
0.75,24,3,0.2,12,-0.9494237284194481,0.3433244530523203,0.0,-1.1210859549456083,False,2008-05-31,2021-12-31,164,0.6393321896055819,0.05667554694767976,0.20000000000000004,0.20000000000000007,0.0,0.0888556741741598,0.19999999999999998
1.0,24,3,0.2,12,-0.9494237284194481,0.3433244530523203,0.0,-1.1210859549456083,False,2008-05-31,2021-12-31,164,0.6393321896055819,0.05667554694767976,0.20000000000000004,0.20000000000000007,0.0,0.0888556741741598,0.19999999999999998
0.2,12,2,0.2,12,-1.004775435613749,0.28076957237374334,0.0,-1.1451602218006207,False,2008-05-31,2021-12-31,164,0.5564731906727615,0.11923042762625674,0.20000000000000007,0.20000000000000007,0.0,0.09695653338337865,0.20000000000000004
0.2,24,2,0.2,12,-0.9919298520978703,0.3442198705534947,0.0,-1.1640397873746178,False,2008-05-31,2021-12-31,164,0.6385141933800778,0.055780129446505455,0.20000000000000007,0.20000000000000007,0.0,0.08891628901367278,0.20000000000000004
0.5,24,2,0.2,12,-0.9919298520978703,0.3442198705534947,0.0,-1.1640397873746178,False,2008-05-31,2021-12-31,164,0.6385141933800778,0.055780129446505455,0.20000000000000007,0.20000000000000007,0.0,0.08891628901367278,0.20000000000000004
0.75,24,2,0.2,12,-0.9919298520978703,0.3442198705534947,0.0,-1.1640397873746178,False,2008-05-31,2021-12-31,164,0.6385141933800778,0.055780129446505455,0.20000000000000007,0.20000000000000007,0.0,0.08891628901367278,0.20000000000000004
1.0,24,2,0.2,12,-0.9919298520978703,0.3442198705534947,0.0,-1.1640397873746178,False,2008-05-31,2021-12-31,164,0.6385141933800778,0.055780129446505455,0.20000000000000007,0.20000000000000007,0.0,0.08891628901367278,0.20000000000000004
0.2,36,2,0.2,12,-1.0111843054453398,0.3710526315789474,0.0,-1.1967106212348135,False,2008-05-31,2021-12-31,164,0.6283621486947345,0.02894736842105264,0.20000000000000004,0.20000000000000007,0.0,0.07036706293221548,0.20000000000000004
0.5,36,2,0.2,12,-1.0111843054453398,0.3710526315789474,0.0,-1.1967106212348135,False,2008-05-31,2021-12-31,164,0.6283621486947345,0.02894736842105264,0.20000000000000004,0.20000000000000007,0.0,0.07036706293221548,0.20000000000000004
0.75,36,2,0.2,12,-1.0111843054453398,0.3710526315789474,0.0,-1.1967106212348135,False,2008-05-31,2021-12-31,164,0.6283621486947345,0.02894736842105264,0.20000000000000004,0.20000000000000007,0.0,0.07036706293221548,0.20000000000000004
